Country,ISO3,Year,proj_le_baseline,proj_le_lo80,proj_le_hi80
Croatia,HRV,2022,77.84054466374866,77.1,78.7
Croatia,HRV,2023,77.81320305154819,77.1,78.7
Croatia,HRV,2024,77.82300860710376,77.1,78.7
Croatia,HRV,2025,77.76136648949917,77.0,78.7
Croatia,HRV,2026,77.82493315616587,77.05346153846153,78.7
Croatia,HRV,2027,77.92288289161563,77.1,78.8
Croatia,HRV,2028,77.9848995582823,77.1860685483871,78.8
Croatia,HRV,2029,78.24141856060609,77.4,78.8
Croatia,HRV,2030,78.32525030663783,77.4,79.0
Cuba,CUB,2022,74.97842346515932,74.0,77.0
Cuba,CUB,2023,74.98445452910276,74.0,77.0
Cuba,CUB,2024,74.891840042747,73.9,77.0
Cuba,CUB,2025,74.70147439116278,73.7,77.0
Cuba,CUB,2026,73.85623504354741,72.6,74.91000000000001
Cuba,CUB,2027,73.608048693663,72.5,74.8
Cuba,CUB,2028,73.36142171185146,72.3,74.63633333333333
Cuba,CUB,2029,73.24823978262367,72.26923076923077,74.6
Cuba,CUB,2030,73.14634534329397,72.31428571428572,74.2775
Cyprus,CYP,2022,82.07826121841136,81.7,82.57
Cyprus,CYP,2023,82.08526121841138,81.7,82.5
Cyprus,CYP,2024,82.1203731953233,81.7,82.6
Cyprus,CYP,2025,82.10437319532332,81.7,82.6
Cyprus,CYP,2026,81.70821471768981,80.5,82.6
Cyprus,CYP,2027,81.60761143486154,80.3,82.5
Cyprus,CYP,2028,81.57194476819487,80.3,82.5
Cyprus,CYP,2029,81.5289031015282,80.3,82.5
Cyprus,CYP,2030,81.5126985560736,80.1,82.51
Czechia,CZE,2022,78.48069567075433,77.6,79.6
Czechia,CZE,2023,78.32455567765564,77.3,79.21000000000001
Czechia,CZE,2024,78.28308901098902,77.3,79.21000000000001
Czechia,CZE,2025,77.72444615384615,75.49,79.1
Czechia,CZE,2026,77.64359999999999,75.48,79.01
Czechia,CZE,2027,77.55466666666668,75.3,78.91000000000001
Czechia,CZE,2028,77.36500000000004,75.0,78.81
Czechia,CZE,2029,77.30200000000005,75.5,78.8
Czechia,CZE,2030,77.26466666666671,75.6,78.7
Côte d'Ivoire,CIV,2022,63.452393518518534,63.0,63.910000000000004
Côte d'Ivoire,CIV,2023,64.05465918803417,63.2,65.6
Côte d'Ivoire,CIV,2024,64.46482702020202,63.59875,65.6
Côte d'Ivoire,CIV,2025,65.08570568783065,64.1,65.9
Côte d'Ivoire,CIV,2026,65.48572895622888,64.58,66.02000000000001
Côte d'Ivoire,CIV,2027,65.72717340067338,64.8,66.4
Côte d'Ivoire,CIV,2028,66.41215117845108,65.5,67.71000000000001
Côte d'Ivoire,CIV,2029,67.23216666666661,66.0,68.3
Côte d'Ivoire,CIV,2030,67.90983333333337,67.2,68.8
Denmark,DNK,2022,82.19787051282067,81.6,82.7
Denmark,DNK,2023,82.2905587523588,81.78999999999999,82.8
Denmark,DNK,2024,82.33680875235876,81.8,82.8
Denmark,DNK,2025,82.38744016261516,81.8,82.8
Denmark,DNK,2026,82.3882734959485,81.8189090909091,82.8
Denmark,DNK,2027,82.38760682928184,81.9,82.8
Denmark,DNK,2028,82.36571794039293,81.9,82.8
Denmark,DNK,2029,82.35805127372626,81.8189090909091,82.8
Denmark,DNK,2030,81.89643293650795,80.3,82.8
Djibouti,DJI,2022,65.37236812169324,64.3,66.9
Djibouti,DJI,2023,65.55628179690692,64.3,67.0
Djibouti,DJI,2024,65.86192152754658,64.5,67.1
Djibouti,DJI,2025,66.26512986087991,64.7,67.7
Djibouti,DJI,2026,66.47896319421325,64.8,68.2
Djibouti,DJI,2027,66.58868184500687,65.0,67.83
Djibouti,DJI,2028,66.74119990657496,65.0,68.2
Djibouti,DJI,2029,66.80475546213053,65.0,68.2
Djibouti,DJI,2030,66.86383641451147,65.2,68.2
Dominica,DMA,2022,71.97514049523939,70.8,73.14029411764707
Dominica,DMA,2023,71.68806737821467,70.6,73.1
Dominica,DMA,2024,71.62562343882072,70.675,73.1
Dominica,DMA,2025,71.54522820072549,70.6,73.06350877192982
Dominica,DMA,2026,71.44056153405882,70.58999999999999,73.0
Dominica,DMA,2027,71.29437302997047,70.4,72.955
Dominica,DMA,2028,71.01555961430127,70.1,72.8
Dominica,DMA,2029,70.06522793075234,68.28999999999999,71.71000000000001
Dominica,DMA,2030,69.7823691344561,67.7,71.3
Dominican Republic,DOM,2022,73.65136454606132,73.0,74.504
Dominican Republic,DOM,2023,74.03789480302827,73.3,74.96305000000001
Dominican Republic,DOM,2024,74.31384405228071,73.63933333333333,75.1
Dominican Republic,DOM,2025,74.5365578466178,73.73,75.1
Dominican Republic,DOM,2026,74.70923830452689,73.9,75.4
Dominican Republic,DOM,2027,74.68419490548251,73.763125,75.6
Dominican Republic,DOM,2028,74.75016848765642,73.798125,75.8
Dominican Republic,DOM,2029,74.85257802393181,73.9,75.9
Dominican Republic,DOM,2030,74.83992654839209,73.8675,75.9
