ISO3,Country,avg_life_expectancy,avg_gdp_per_capita,avg_u5_mortality,avg_infant_deaths
LBY,Libya,73.47272727272728,10289.362152410926,18.040909090909093,1897.7727272727273
BHR,Bahrain,73.44090909090909,23757.63020185265,9.222727272727273,136.0909090909091
ROU,Romania,73.43636363636364,8027.945712477722,13.054545454545455,2410.4545454545455
BGR,Bulgaria,73.42272727272727,6435.70738119822,10.840909090909092,629.1818181818181
OMN,Oman,73.4090909090909,19759.777345316677,12.19090909090909,660.0454545454545
DOM,Dominican Republic,73.37727272727273,5865.462544754225,35.67272727272727,6628.454545454545
BLZ,Belize,73.27272727272727,5978.633345770315,18.26818181818182,110.72727272727273
LTU,Lithuania,73.19545454545454,12261.626251201817,6.659090909090909,165.77272727272728
MUS,Mauritius,73.0409090909091,8225.981501772654,15.54090909090909,218.1818181818182
SYC,Seychelles,73.02272727272727,13984.729602106032,14.204545454545455,20.727272727272727
ARM,Armenia,73.01818181818182,2931.2964428985924,19.222727272727273,679.7727272727273
VCT,Saint Vincent and the Grenadines,72.8,6877.511689598688,19.15909090909091,31.181818181818183
TTO,Trinidad and Tobago,72.8,16308.792819350829,24.49090909090909,419.8636363636364
LVA,Latvia,72.77727272727272,11673.286673883746,7.854545454545455,136.6818181818182
VNM,Viet Nam,72.76818181818182,2176.9970777595527,23.686363636363637,25435.545454545456
JAM,Jamaica,72.52727272727272,5452.923665307652,19.12272727272727,771.8181818181819
BHS,Bahamas,72.36363636363636,31316.329708645375,15.6,69.31818181818181
MAR,Morocco,72.18636363636364,2756.488991477276,32.11363636363637,19124.727272727272
MHL,Marshall Islands,72.18181818181819,3737.045868408679,37.949999999999996,48.54545454545455
NIU,Niue,72.18181818181819,4617.229563078327,32.88636363636363,3.0
TUV,Tuvalu,72.18181818181819,3312.692833934851,31.44090909090909,6.409090909090909
NRU,Nauru,72.18181818181819,6203.008014326965,25.354545454545452,7.454545454545454
COK,Cook Islands,72.18181818181819,4617.229563078327,14.513636363636364,3.5454545454545454
KNA,Saint Kitts and Nevis,72.18181818181819,17908.08801091193,19.568181818181817,11.818181818181818
PSE,"Palestine, State of",72.18181818181819,2862.8169445581702,22.022727272727273,2540.2727272727275
AND,Andorra,72.18181818181819,37997.45302022579,4.7272727272727275,3.590909090909091
PLW,Palau,72.18181818181819,14279.281896052724,22.14090909090909,4.545454545454546
DMA,Dominica,72.18181818181819,7939.480975551633,26.013636363636362,22.227272727272727
SUR,Suriname,72.0909090909091,7895.075775672571,23.354545454545452,242.04545454545453
GEO,Georgia,72.07727272727273,3309.379869207962,17.427272727272726,776.6818181818181
TON,Tonga,72.04545454545455,4072.0408611426956,13.3,31.454545454545453
GRD,Grenada,71.9090909090909,8058.537061535112,16.386363636363637,24.59090909090909
BTN,Bhutan,71.33181818181818,2362.6907529431614,44.11363636363637,451.3636363636364
BLR,Belarus,71.23636363636363,5045.081237350485,6.372727272727272,472.45454545454544
GTM,Guatemala,70.78636363636363,3631.8155557008827,35.26363636363636,11485.454545454546
IRQ,Iraq,70.4090909090909,4038.965380145867,34.08181818181818,31328.409090909092
