Country,ISO3,Year,y_true,y_pred,Residual,Cooks_D
Gabon,GAB,2019,65.0,65.89416847041848,-0.894168470418478,0.0013742178659052354
Mexico,MEX,2019,75.8,75.27736882876013,0.5226311712398655,0.0013709189896787075
Argentina,ARG,2021,74.6,75.61879245500103,-1.0187924550010337,0.0013599736988463846
Spain,ESP,2018,82.8,82.61322039682567,0.18677960317432962,0.0013493332879217354
Nicaragua,NIC,2021,75.0,72.73158626327375,2.268413736726245,0.001347936209070254
Kiribati,KIR,2020,61.9,61.924795917970826,-0.024795917970827475,0.0013327759098261825
Palau,PLW,2021,72.2,71.37628703703729,0.8237129629627162,0.0013302770842283092
Morocco,MAR,2020,72.5,73.1576886147671,-0.6576886147670962,0.0013257536494028519
Belize,BLZ,2018,74.6,73.69648257853815,0.9035174214618422,0.0013188379378260306
Guinea-Bissau,GNB,2019,59.0,59.05823862433863,-0.05823862433862814,0.0013150431525351183
Ukraine,UKR,2020,72.5,72.36146489553329,0.1385351044667118,0.001313349064268579
Slovenia,SVN,2018,81.0,80.86797171717173,0.13202828282827284,0.0013106682535371935
Jamaica,JAM,2021,70.1,72.54898981637456,-2.4489898163745636,0.0013067140148492985
Israel,ISR,2019,82.6,82.26052347837368,0.3394765216263096,0.001300121794214582
Cyprus,CYP,2019,82.2,82.12634866429879,0.0736513357012143,0.0012669452030618221
Syrian Arab Republic,SYR,2020,72.0,71.56802261349758,0.43197738650242457,0.001259916492326853
El Salvador,SLV,2018,74.7,73.41055126651682,1.2894487334831837,0.0012549278911790185
Chile,CHL,2020,79.9,79.56099717164633,0.3390028283536708,0.0012454860562644676
New Zealand,NZL,2020,82.5,81.35230440187847,1.1476955981215298,0.0012406065446043783
Kyrgyzstan,KGZ,2018,73.3,72.89109505696402,0.4089049430359779,0.0012249103806319128
Luxembourg,LUX,2018,82.8,82.52416398656922,0.27583601343077646,0.0012191427075059593
"Korea, Republic of",KOR,2021,82.8,82.62885373015855,0.17114626984144365,0.0012056103005522061
Pakistan,PAK,2021,66.0,65.26615384615383,0.7338461538461729,0.001204891999262099
Costa Rica,CRI,2020,80.0,79.26019133285014,0.7398086671498589,0.001203446766255544
Dominican Republic,DOM,2019,73.9,72.66461895687846,1.2353810431215493,0.0011962562455052697
Malta,MLT,2018,82.3,81.90616917989425,0.3938308201057481,0.0011960436131847978
Cyprus,CYP,2018,82.1,81.98205480342118,0.11794519657881608,0.0011946889328758004
Niger,NER,2021,60.0,59.70028888888883,0.2997111111111721,0.00116836110836231
Gabon,GAB,2021,65.1,65.63548703703708,-0.5354870370370861,0.0011535763463170871
Luxembourg,LUX,2019,82.8,82.52416398656922,0.27583601343077646,0.001152270524697561
Haiti,HTI,2020,63.4,63.66920608465622,-0.26920608465621854,0.0011477051204435978
Slovakia,SVK,2021,74.5,75.90640173647353,-1.4064017364735264,0.001143494902098255
Uzbekistan,UZB,2021,72.2,73.22007519099492,-1.0200751909949162,0.0011368492058129015
Luxembourg,LUX,2021,82.8,82.51983065323587,0.28016934676412575,0.0011127074261740079
Spain,ESP,2019,82.8,82.55735119047633,0.24264880952367207,0.0011103164516431533
Malaysia,MYS,2020,76.8,74.31841541276641,2.481584587233584,0.0011049033118004559
Burundi,BDI,2021,64.0,64.86115609857987,-0.861156098579869,0.001092043196330143
El Salvador,SLV,2019,74.3,73.21275418671748,1.0872458132825216,0.001091464939040884
Czechia,CZE,2021,77.1,78.3936740582295,-1.2936740582294988,0.001083444576497263
Luxembourg,LUX,2020,82.8,82.52316398656922,0.27683601343078124,0.0010829328298562343
Angola,AGO,2020,62.6,62.89997953216372,-0.299979532163718,0.001078496147213747
Nauru,NRU,2021,72.2,71.84941666666683,0.3505833333331765,0.001069962416493276
Spain,ESP,2021,82.7,82.5236861111112,0.1763138888887994,0.0010684253191885918
