Country,ISO3,proj_le,Scenario
Honduras,HND,68.77731818181815,pessimistic
Hungary,HUN,75.39420526400275,pessimistic
Iceland,ISL,81.91592716450221,pessimistic
India,IND,66.11600000000004,pessimistic
Indonesia,IDN,66.52333333333334,pessimistic
"Iran, Islamic Republic of",IRN,72.21147751837658,pessimistic
Iraq,IRQ,73.17600286044477,pessimistic
Ireland,IRL,82.17405983923481,pessimistic
Israel,ISR,82.28345214193223,pessimistic
Italy,ITA,82.24138499278506,pessimistic
Jamaica,JAM,70.47949258334253,pessimistic
Japan,JPN,82.76899999999964,pessimistic
Jordan,JOR,73.25065568730915,pessimistic
Kazakhstan,KAZ,71.20583333333332,pessimistic
Kenya,KEN,71.22995294784586,pessimistic
Kiribati,KIR,60.05475140056025,pessimistic
"Korea, Democratic People's Republic of",PRK,72.56754151534503,pessimistic
"Korea, Republic of",KOR,82.68952499999978,pessimistic
Kuwait,KWT,76.26351111111107,pessimistic
Kyrgyzstan,KGZ,72.83808704709742,pessimistic
Lao People's Democratic Republic,LAO,70.80511712419906,pessimistic
Latvia,LVA,72.66956226646161,pessimistic
Lebanon,LBN,72.08859067703509,pessimistic
Lesotho,LSO,52.03140999999999,pessimistic
Liberia,LBR,65.17366666666669,pessimistic
Libya,LBY,72.80726438269296,pessimistic
Lithuania,LTU,74.4203743354089,pessimistic
Luxembourg,LUX,82.48716398656912,pessimistic
Madagascar,MDG,62.91745555555551,pessimistic
Malawi,MWI,63.305499999999995,pessimistic
Malaysia,MYS,72.46513153352592,pessimistic
Maldives,MDV,81.15187626262637,pessimistic
Mali,MLI,62.58233333333336,pessimistic
Malta,MLT,81.73679700022215,pessimistic
Marshall Islands,MHL,70.66937729595831,pessimistic
Mauritania,MRT,67.70727936507946,pessimistic
Mauritius,MUS,72.12925678338,pessimistic
Mexico,MEX,61.45599999999989,pessimistic
"Micronesia, Federated States of",FSM,66.40371473429947,pessimistic
"Moldova, Republic of",MDA,72.3802550265295,pessimistic
Mongolia,MNG,70.90900000000003,pessimistic
Montenegro,MNE,73.09699018594094,pessimistic
Morocco,MAR,72.4564113850129,pessimistic
Mozambique,MOZ,59.24655555555558,pessimistic
Myanmar,MMR,68.91576648148157,pessimistic
Namibia,NAM,60.475000000000016,pessimistic
Nauru,NRU,71.56395202020204,pessimistic
Nepal,NPL,70.25271193045478,pessimistic
Netherlands,NLD,81.87618409280776,pessimistic
New Zealand,NZL,81.25276323953835,pessimistic
Nicaragua,NIC,71.50750148856987,pessimistic
Niger,NER,60.145322222222156,pessimistic
Nigeria,NGA,64.30633333333333,pessimistic
Niue,NIU,70.63163130833603,pessimistic
North Macedonia,MKD,70.87000000000005,pessimistic
Norway,NOR,82.26786388888866,pessimistic
Oman,OMN,72.80664434044603,pessimistic
Pakistan,PAK,65.36521666666667,pessimistic
Palau,PLW,70.54018001926988,pessimistic
"Palestine, State of",PSE,72.60445697543192,pessimistic
Panama,PAN,75.12593623622814,pessimistic
Papua New Guinea,PNG,64.12052592592586,pessimistic
Paraguay,PRY,66.74369444444443,pessimistic
Peru,PER,59.52500000000005,pessimistic
Philippines,PHL,64.05218564593297,pessimistic
Poland,POL,74.8292347506094,pessimistic
Portugal,PRT,81.02628913733328,pessimistic
Qatar,QAT,80.60302023809531,pessimistic
Romania,ROU,72.21528333333328,pessimistic
Russian Federation,RUS,71.09588888888884,pessimistic
Rwanda,RWA,68.93605971203264,pessimistic
Saint Kitts and Nevis,KNA,71.3414425536882,pessimistic
Saint Lucia,LCA,67.5181666666666,pessimistic
Saint Vincent and the Grenadines,VCT,71.42106868686874,pessimistic
