Country,Year,alcohol_per_capita_15plus,che_pct_gdp,dtp3_coverage_pct,gdp_per_capita_2015usd,hepb3_coverage_pct,log_gdp_per_capita_2015usd,overweight_adults_pct,pol3_coverage_pct,thinness_children_adolescents_pct,underweight_adults_pct,pred_life_expectancy
Iraq,2025,0.45999999999997954,6.900000000000432,69.79999999999745,3570.3986466268543,69.79999999999745,8.201362976841324,74.84000000000037,76.99999999999909,3.359999999999957,2.6000000000000005,70.95499999999998
Ireland,2022,10.169999999999959,6.518000000000001,93.60000000000014,80822.27094414784,92.60000000000014,11.303144237817186,64.80000000000001,93.60000000000014,1.4200000000000017,1.3500000000000014,81.274
Ireland,2023,9.899999999999977,6.443999999999988,93.40000000000009,82737.52519905195,92.20000000000005,11.329032645034538,65.00000000000006,93.40000000000009,1.460000000000008,1.3800000000000026,81.225
Ireland,2024,9.629999999999882,6.369999999999976,93.2000000000001,84652.77945395606,91.80000000000007,11.354921052251889,65.20000000000005,93.2000000000001,1.5000000000000284,1.4100000000000108,81.208
Ireland,2025,9.359999999999786,6.295999999999964,93.00000000000006,86568.03370886017,91.39999999999998,11.380809459469248,65.40000000000009,93.00000000000006,1.5400000000000347,1.440000000000012,81.026
Israel,2022,3.0999999999999996,7.997000000000071,97.99999999999999,40435.00323359831,95.79999999999984,10.60725122784715,54.29999999999998,97.99999999999999,3.049999999999997,3.769999999999996,82.10999999999991
Israel,2023,3.0999999999999996,8.18200000000013,97.99999999999999,40923.97727263719,95.5999999999998,10.619617350945134,54.19999999999996,97.99999999999999,3.0800000000000054,3.8200000000000074,82.0379999999999
Israel,2024,3.0999999999999996,8.36700000000019,97.99999999999999,41412.951311676065,95.39999999999975,10.631983474043121,54.09999999999994,97.99999999999999,3.1100000000000065,3.8700000000000188,82.05699999999993
Israel,2025,3.0999999999999996,8.552000000000191,97.99999999999999,41901.925350714824,95.1999999999997,10.644349597141105,53.999999999999915,97.99999999999999,3.140000000000015,3.92000000000003,82.03899999999993
Italy,2022,8.419999999999987,9.587000000000103,93.89999999999964,31149.004739563272,94.09999999999985,10.345275929676287,49.2,93.89999999999964,2.1999999999999886,2.8700000000000045,80.963
Italy,2023,8.47999999999999,9.796000000000163,93.59999999999957,31040.48218043687,93.9999999999998,10.341562322833939,49.199999999999996,93.59999999999957,2.3000000000000114,2.920000000000016,80.97
Italy,2024,8.539999999999992,10.005000000000223,93.2999999999995,30931.959621310467,93.89999999999975,10.33784871599159,49.199999999999996,93.2999999999995,2.400000000000034,2.9700000000000273,80.916
Italy,2025,8.599999999999994,10.214000000000283,92.99999999999932,30823.437062184064,93.7999999999997,10.334135109149242,49.199999999999996,92.99999999999932,2.500000000000057,3.0200000000000387,80.92699999999999
Jamaica,2022,3.8200000000000145,8.058000000000334,92.29999999999927,5501.600051791349,90.99999999999909,8.612354506572572,61.12000000000012,91.69999999999914,2.5,4.3,74.28100000000006
Jamaica,2023,3.8000000000000114,8.326000000000363,91.599999999999,5465.860017762869,89.99999999999864,8.605864455061907,61.80000000000018,90.79999999999882,2.6000000000000227,4.3,73.66900000000004
Jamaica,2024,3.7800000000000082,8.594000000000506,90.89999999999873,5430.119983734388,88.99999999999818,8.599374403551241,62.480000000000246,89.89999999999827,2.7000000000000455,4.3,73.84000000000003
Jamaica,2025,3.760000000000012,8.862000000000535,90.19999999999845,5394.3799497058935,87.99999999999773,8.592884352040576,63.16000000000031,88.99999999999795,2.800000000000068,4.3,73.51900000000003
Japan,2022,6.199999999999989,12.245000000000346,97.40000000000015,35164.52885239106,100.0,10.467713469433711,24.010000000000105,98.2000000000001,2.3,10.770000000000039,81.6330000000001
Japan,2023,6.099999999999966,12.600000000000364,97.20000000000016,34990.81058192032,100.0,10.46281223401162,24.260000000000105,98.40000000000015,2.2999999999999994,10.84000000000006,81.6330000000001
Japan,2024,5.999999999999943,12.955000000000496,97.00000000000017,34817.09231144958,100.0,10.457910998589528,24.51000000000016,98.6000000000002,2.2999999999999994,10.910000000000053,81.6340000000001
Japan,2025,5.89999999999992,13.310000000000514,96.80000000000024,34643.374040978844,100.0,10.453009763167435,24.76000000000022,98.80000000000024,2.2999999999999994,10.980000000000075,81.6370000000001
